stock_id,超大单,大单,中单,小单
SH601890,-2,-7,0,0
SH601898,1,-4,1,1
SH601899,1,6,2,0
SH601900,1,6,14,-2
SH601901,9,2,-3,1
SH601908,1,-2,-2,2
SH601918,1,-6,-1,-1
SH601919,-1,-6,1,-1
SH601928,0,4,-1,6
SH601929,0,-2,-12,-3
SH601933,1,5,-2,1
SH601939,1,-6,-2,0
SH601958,1,6,0,0
SH601965,0,-3,-3,3
SH601966,0,3,6,2
SH601968,0,3,1,3
SH601969,0,0,0,5
SH601985,2,3,-2,0
SH601988,10,5,4,0
SH601989,0,-4,1,2
SH601991,4,6,2,-1
SH601992,0,0,0,0
SH601996,-1,-7,0,-1
SH601997,-6,1,3,1
SH601998,3,-3,-3,0
SH601999,0,2,8,-7
SH603000,0,1,0,0
SH603001,2,3,0,-2
SH603002,0,-1,0,-4
SH603003,0,2,4,5
SH603005,2,-1,11,-1
SH603006,4,-5,-5,1
SH603007,1,2,0,-2
SH603008,-1,13,11,2
SH603009,0,2,-5,0
SH603011,1,-3,-3,0
SH603012,0,2,3,0
SH603015,0,-1,-10,-3
SH603016,0,2,-3,7
SH603017,0,1,-4,-2
SH603018,1,2,5,-1
SH603019,2,1,0,0
SH603020,0,-2,-1,-4
SH603021,0,-1,0,2
SH603022,0,-2,-1,0
SH603023,1,2,-4,-2
SH603025,0,-1,0,-2
SH603026,2,-3,3,1
SH603027,0,5,1,-1
SH603028,0,8,2,1
SH603029,0,8,0,1
SH603030,-1,-3,-2,3
SH603031,0,6,0,-5
SH603032,-1,4,0,-1
SH603033,2,1,4,0
SH603035,-2,-4,4,-1
SH603036,4,4,0,1
SH603037,1,0,7,-3
SH603038,0,-2,-4,-3
SH603039,0,-2,-1,0
SH603040,5,-5,-1,0
SH603041,0,0,0,0
SH603058,0,1,6,4
SH603060,2,5,0,0
SH603066,0,3,0,0
SH603067,1,1,-6,3
SH603069,0,-1,-6,4
SH603077,1,-1,-3,-2
SH603085,0,0,-2,1
SH603088,0,-5,-7,-3
SH603089,4,5,-2,-4
SH603090,0,6,1,2
SH603098,0,0,0,0
SH603099,1,3,7,2
SH603100,0,0,2,-1
SH603101,0,3,3,-5
SH603116,0,-1,-1,4
SH603117,0,4,2,0
SH603118,2,0,-7,-6
SH603123,0,-3,-1,7
SH603126,-1,5,-1,0
SH603128,0,-1,-2,2
SH603131,1,12,2,-1
SH603133,0,0,0,0
SH603138,1,1,1,0
SH603158,5,-8,-6,-2
SH603159,0,-1,-1,1
SH603160,0,3,3,3
SH603165,0,2,8,1
